segment	variable	group	num
nMF	block_duration_seconds_m12_circle_d168_avg_10_per	2.0	165404
nMF	block_duration_seconds_m12_circle_d168_avg_10_per	3.0	159846
nMF	block_duration_seconds_m12_circle_d168_avg_10_per	4.0	161636
nMF	block_duration_seconds_m12_circle_d168_avg_10_per	5.0	155939
nMF	block_duration_seconds_m12_circle_d168_avg_10_per	6.0	162623
nMF	block_duration_seconds_m12_circle_d168_avg_10_per	7.0	170039
nMF	block_duration_seconds_m12_circle_d168_avg_10_per	8.0	167694
nMF	block_duration_seconds_m12_circle_d168_avg_10_per	9.0	145293
nMF	circle_short_msisdn_count_d28_circle_d168_avg_10_per	0.0	410291
nMF	circle_short_msisdn_count_d28_circle_d168_avg_10_per	1.0	162874
nMF	circle_short_msisdn_count_d28_circle_d168_avg_10_per	2.0	165739
nMF	circle_short_msisdn_count_d28_circle_d168_avg_10_per	3.0	167122
nMF	circle_short_msisdn_count_d28_circle_d168_avg_10_per	4.0	161072
nMF	circle_short_msisdn_count_d28_circle_d168_avg_10_per	5.0	170782
nMF	circle_short_msisdn_count_d28_circle_d168_avg_10_per	6.0	152827
nMF	circle_short_msisdn_count_d28_circle_d168_avg_10_per	7.0	153567
nMF	circle_short_msisdn_count_d28_circle_d168_avg_10_per	8.0	168036
nMF	circle_short_msisdn_count_d28_circle_d168_avg_10_per	9.0	151634
nMF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	0.0	412633
nMF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	1.0	165264
nMF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	2.0	156219
nMF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	3.0	164070
nMF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	4.0	161123
nMF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	5.0	173080
nMF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	6.0	160685
nMF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	7.0	166573
nMF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	8.0	163838
nMF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	9.0	140459
nMF	circle_spam_msisdn_count_d28_per	0.0	1318959
nMF	circle_spam_msisdn_count_d28_per	1.0	86423
nMF	circle_spam_msisdn_count_d28_per	2.0	155507
nMF	circle_spam_msisdn_count_d28_per	3.0	156742
nMF	circle_spam_msisdn_count_d28_per	4.0	146313
nMF	data_count_in_out_alltime_alldays_d28_circle_d168_avg_10_per	0.0	417024
nMF	data_count_in_out_alltime_alldays_d28_circle_d168_avg_10_per	1.0	157108
nMF	data_count_in_out_alltime_alldays_d28_circle_d168_avg_10_per	2.0	165980
nMF	data_count_in_out_alltime_alldays_d28_circle_d168_avg_10_per	3.0	167457
nMF	data_count_in_out_alltime_alldays_d28_circle_d168_avg_10_per	4.0	157755
nMF	data_count_in_out_alltime_alldays_d28_circle_d168_avg_10_per	5.0	164762
nMF	data_count_in_out_alltime_alldays_d28_circle_d168_avg_10_per	6.0	170523
nMF	data_count_in_out_alltime_alldays_d28_circle_d168_avg_10_per	7.0	146719
nMF	data_count_in_out_alltime_alldays_d28_circle_d168_avg_10_per	8.0	159929
nMF	data_count_in_out_alltime_alldays_d28_circle_d168_avg_10_per	9.0	156687
nMF	imei_change_count_d28_circle_d168_avg_10_per	0.0	891791
nMF	imei_change_count_d28_circle_d168_avg_10_per	1.0	1491
nMF	imei_change_count_d28_circle_d168_avg_10_per	2.0	165859
nMF	imei_change_count_d28_circle_d168_avg_10_per	3.0	183472
nMF	imei_change_count_d28_circle_d168_avg_10_per	4.0	136595
nMF	imei_change_count_d28_circle_d168_avg_10_per	5.0	183044
nMF	imei_change_count_d28_circle_d168_avg_10_per	6.0	148031
nMF	imei_change_count_d28_circle_d168_avg_10_per	7.0	153661
nMF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	0.0	411037
nMF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	1.0	161742
nMF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	2.0	164935
nMF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	3.0	166143
nMF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	4.0	159544
nMF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	5.0	168363
nMF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	6.0	152503
nMF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	7.0	156537
nMF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	8.0	176636
nMF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	9.0	146504
nMF	lifetime_days_count_per	0.0	395823
nMF	lifetime_days_count_per	1.0	163931
nMF	lifetime_days_count_per	2.0	171003
nMF	lifetime_days_count_per	3.0	173143
nMF	lifetime_days_count_per	4.0	153193
nMF	lifetime_days_count_per	5.0	172162
nMF	lifetime_days_count_per	6.0	153412
nMF	lifetime_days_count_per	7.0	172421
nMF	lifetime_days_count_per	8.0	164428
nMF	lifetime_days_count_per	9.0	144428
nMF	lifetime_days_count_per_circle_top_1	0.0	402677
nMF	lifetime_days_count_per_circle_top_1	1.0	164542
nMF	lifetime_days_count_per_circle_top_1	2.0	162894
nMF	lifetime_days_count_per_circle_top_1	3.0	170140
nMF	lifetime_days_count_per_circle_top_1	4.0	152673
nMF	lifetime_days_count_per_circle_top_1	5.0	181318
nMF	lifetime_days_count_per_circle_top_1	6.0	155479
nMF	lifetime_days_count_per_circle_top_1	7.0	186021
nMF	lifetime_days_count_per_circle_top_1	8.0	143714
nMF	lifetime_days_count_per_circle_top_1	9.0	144486
nMF	payment_amount_min_m3_circle_d168_avg_10_per	0.0	423447
nMF	payment_amount_min_m3_circle_d168_avg_10_per	1.0	147839
nMF	payment_amount_min_m3_circle_d168_avg_10_per	2.0	162648
nMF	payment_amount_min_m3_circle_d168_avg_10_per	3.0	160091
nMF	payment_amount_min_m3_circle_d168_avg_10_per	4.0	174522
nMF	payment_amount_min_m3_circle_d168_avg_10_per	5.0	147663
nMF	payment_amount_min_m3_circle_d168_avg_10_per	6.0	172602
nMF	payment_amount_min_m3_circle_d168_avg_10_per	7.0	153538
nMF	payment_amount_min_m3_circle_d168_avg_10_per	8.0	167732
nMF	payment_amount_min_m3_circle_d168_avg_10_per	9.0	153862
nMF	payment_count_m3_circle_avg_10_per	0.0	419215
nMF	payment_count_m3_circle_avg_10_per	1.0	168829
nMF	payment_count_m3_circle_avg_10_per	2.0	165061
nMF	payment_count_m3_circle_avg_10_per	3.0	154548
nMF	payment_count_m3_circle_avg_10_per	4.0	167391
nMF	payment_count_m3_circle_avg_10_per	5.0	157453
nMF	payment_count_m3_circle_avg_10_per	6.0	166500
nMF	payment_count_m3_circle_avg_10_per	7.0	147883
nMF	payment_count_m3_circle_avg_10_per	8.0	163191
nMF	payment_count_m3_circle_avg_10_per	9.0	153873
nMF	subs_device_lifetime_circle_d168_avg_10_per	0.0	421581
nMF	subs_device_lifetime_circle_d168_avg_10_per	1.0	151825
nMF	subs_device_lifetime_circle_d168_avg_10_per	2.0	179200
nMF	subs_device_lifetime_circle_d168_avg_10_per	3.0	142389
nMF	subs_device_lifetime_circle_d168_avg_10_per	4.0	167096
nMF	subs_device_lifetime_circle_d168_avg_10_per	5.0	164865
nMF	subs_device_lifetime_circle_d168_avg_10_per	6.0	156736
nMF	subs_device_lifetime_circle_d168_avg_10_per	7.0	163141
nMF	subs_device_lifetime_circle_d168_avg_10_per	8.0	157640
nMF	subs_device_lifetime_circle_d168_avg_10_per	9.0	159471
nMF	subs_device_lifetime_per_circle_d168_top_1	0.0	345411
nMF	subs_device_lifetime_per_circle_d168_top_1	1.0	165382
nMF	subs_device_lifetime_per_circle_d168_top_1	2.0	176862
nMF	subs_device_lifetime_per_circle_d168_top_1	3.0	171795
